dataset          age          gender        education    race                                       apoe            mmse         cdr        moca
---------------  -----------  ------------  -----------  -----------------------------------------  --------------  -----------  ---------  -----------
ADNI_NC(n=210)   76.10±4.95   108 (51.43%)  16.03±2.90   whi:193 blk:14 ans:3 ind:0 haw:0 mix:0     53 (25.238%)    29.11±1.02   0.00±0.00  NA
ADNI_MCI(n=379)  74.75±7.45   244 (64.38%)  15.62±3.01   whi:354 blk:15 ans:8 ind:1 haw:0 mix:1     190 (50.132%)   27.02±1.77   0.50±0.03  NA
ADNI_AD(n=178)   75.25±7.48   94 (52.81%)   14.74±3.06   whi:167 blk:7 ans:2 ind:0 haw:0 mix:2      112 (62.921%)   23.31±2.08   0.75±0.25  NA
ADNI_OT(n=0)     NA           NA            NA           NA                                         NA              NA           NA         NA
p-val            0.075        0.002         <0.001       0.463                                      <0.001          <0.001       <0.001     NA
----             ----         ----          ----         ----                                       ----            ----         ----       ----
NACC_NC(n=451)   70.27±11.62  158 (35.03%)  15.86±3.06^  whi:366 blk:66 ans:11 ind:2 haw:0 mix:0 ^  116 (30.208%)^  28.80±1.45^  0.07±0.18  26.59±2.43^
NACC_MCI(n=192)  73.41±10.17  88 (45.83%)   15.70±3.19   whi:140 blk:37 ans:10 ind:1 haw:1 mix:0 ^  69 (40.116%)^   27.17±2.28^  0.42±0.21  23.06±3.16^
NACC_AD(n=153)   73.28±9.86   59 (38.56%)   14.93±3.65^  whi:129 blk:12 ans:6 ind:0 haw:0 mix:0 ^   66 (51.562%)^   21.04±6.10^  1.01±0.63  13.88±6.30^
NACC_OT(n=97)    61.57±11.93  64 (65.98%)   14.96±3.12   whi:88 blk:6 ans:2 ind:0 haw:0 mix:0 ^     23 (30.263%)^   21.55±7.59^  1.04±0.70  16.53±6.92^
p-val            <0.001       <0.001        0.004        0.020                                      <0.001          <0.001       <0.001     <0.001
----             ----         ----          ----         ----                                       ----            ----         ----       ----
