dataset          age          gender        education    race                                      apoe           mmse         cdr        moca
---------------  -----------  ------------  -----------  ----------------------------------------  -------------  -----------  ---------  -----------
ADNI_NC(n=197)   75.90±4.83   105 (53.30%)  16.02±2.83   whi:182 blk:13 ans:2 ind:0 haw:0 mix:0    50 (25.381%)   29.11±1.01   0.00±0.00  NA
ADNI_MCI(n=345)  74.77±7.38   226 (65.51%)  15.66±3.01   whi:322 blk:14 ans:7 ind:1 haw:0 mix:1    179 (51.884%)  27.02±1.78   0.50±0.00  NA
ADNI_AD(n=167)   75.47±7.34   89 (53.29%)   14.65±3.08   whi:156 blk:7 ans:2 ind:0 haw:0 mix:2     106 (63.473%)  23.31±2.09   0.75±0.25  NA
ADNI_OT(n=0)     NA           NA            NA           NA                                        NA             NA           NA         NA
p-val            0.158        0.004         <0.001       0.507                                     <0.001         <0.001       <0.001     NA
----             ----         ----          ----         ----                                      ----           ----         ----       ----
NACC_NC(n=330)   69.18±12.45  119 (36.06%)  15.77±3.16^  whi:266 blk:53 ans:7 ind:0 haw:0 mix:0 ^  95 (31.046%)^  28.85±1.49^  0.09±0.20  26.73±2.49^
NACC_MCI(n=134)  71.90±10.14  65 (48.51%)   15.93±3.09   whi:100 blk:28 ans:3 ind:1 haw:1 mix:0 ^  50 (41.322%)^  27.10±2.26^  0.43±0.22  22.99±3.24^
NACC_AD(n=99)    73.06±10.24  40 (40.40%)   15.03±3.14^  whi:83 blk:9 ans:4 ind:0 haw:0 mix:0 ^    51 (57.303%)^  20.97±6.41^  0.99±0.65  13.65±6.73^
NACC_OT(n=63)    60.40±12.37  41 (65.08%)   15.11±2.44   whi:59 blk:4 ans:0 ind:0 haw:0 mix:0      15 (27.273%)^  24.00±5.38^  0.89±0.58  17.10±6.89^
p-val            <0.001       <0.001        0.061        0.052                                     <0.001         <0.001       <0.001     <0.001
----             ----         ----          ----         ----                                      ----           ----         ----       ----
